grid_id,centroid_lat,centroid_lon
BLR_00001,12.841823618454018,77.53492200637821
BLR_00002,12.84190927215945,77.52340736471946
BLR_00003,12.841674806880052,77.52843555442416
BLR_00004,12.84859677867421,77.52261723471753
BLR_00005,12.847849219152362,77.53739650528371
BLR_00006,12.847613638631275,77.52838328203487
BLR_00007,12.85664760048595,77.52847371848283
BLR_00008,12.856987527890922,77.52144493935981
BLR_00009,12.856558671449738,77.5376809690497
BLR_00010,12.86559256191436,77.53777180317603
BLR_00011,12.869338880294858,77.51240022534923
BLR_00012,12.87899478499186,77.47678431866179
BLR_00013,12.876421481045451,77.48394990416514
BLR_00014,12.881025308786636,77.47680612890004
BLR_00015,12.88868315774291,77.46835777126701
BLR_00016,12.883615394563384,77.48320388780125
BLR_00017,12.895765698101432,77.47314972003701
BLR_00018,12.89461645203804,77.4662913485186
BLR_00019,12.865681555506807,77.52856422390124
BLR_00020,12.865585026589885,77.52124764150294
BLR_00021,12.874715503689288,77.52865479830194
BLR_00022,12.875076260903656,77.51937528654763
BLR_00023,12.87462644553617,77.53786270653508
BLR_00024,12.883749445028831,77.52874544169674
BLR_00025,12.883838244610223,77.51953713524885
BLR_00026,12.883660322310602,77.53795367913871
BLR_00027,12.892783379520877,77.52883615409748
BLR_00028,12.892872243437756,77.51962751817837
BLR_00029,12.876978827559523,77.50018558374639
BLR_00030,12.875736642958485,77.491741811104
BLR_00031,12.875204478079882,77.51064200728196
BLR_00032,12.884014874317568,77.50112031633746
BLR_00033,12.884102704421162,77.49191180437508
BLR_00034,12.883926721043537,77.51032876004558
BLR_00035,12.893049001113825,77.50121004028922
BLR_00036,12.89313689485064,77.49200119882036
BLR_00037,12.8935296369875,77.4830966306296
BLR_00038,12.902380204545103,77.47367039188032
BLR_00039,12.902336977586602,77.46462476548474
BLR_00040,12.902258712170324,77.48288142202803
BLR_00041,12.91131909970513,77.47382795868174
BLR_00042,12.90957193144077,77.46800391220516
BLR_00043,12.91129295233426,77.48297062249632
BLR_00044,12.92011332391717,77.47495467935441
BLR_00045,12.92032718565906,77.48305989075264
BLR_00046,12.892694192233101,77.5380447209988
BLR_00047,12.901817307160885,77.52892693551598
BLR_00048,12.90190623541767,77.51971796987509
BLR_00049,12.901728055299106,77.53813583212724
BLR_00050,12.910851227944278,77.5290177859641
BLR_00051,12.910940220545408,77.5198084903508
BLR_00052,12.910761911504057,77.53822701253591
BLR_00053,12.919974198816423,77.51989907961732
BLR_00054,12.919885141866512,77.52910870545371
BLR_00055,12.91979576084339,77.53831826223673
BLR_00056,12.892960783972471,77.5104188134921
BLR_00057,12.902083121071273,77.50129983250697
BLR_00058,12.902171078445692,77.49209066128103
BLR_00059,12.901994840058206,77.5105089354552
BLR_00060,12.911117234185365,77.50138969300244
BLR_00061,12.911205255201775,77.49218019176875
BLR_00062,12.91102888929618,77.51059912594668
BLR_00063,12.920239425114346,77.49226979029523
BLR_00064,12.920151340451559,77.50147962178735
BLR_00065,12.92006293168185,77.51068938497829
BLR_00066,12.925739349890259,77.4757330153799
BLR_00067,12.928624385018013,77.48442401997798
BLR_00068,12.94071298835313,77.47657086988629
BLR_00069,12.939175787477552,77.48379789306723
BLR_00070,12.947429844553252,77.48332810236649
BLR_00071,12.948128198370277,77.47615648799878
BLR_00072,12.956464050476129,77.48341764189165
BLR_00073,12.849758931548587,77.60211563756934
BLR_00074,12.84911699143595,77.60795744891739
BLR_00075,12.856195280133045,77.61095524308756
BLR_00076,12.855927140974805,77.60212977081231
BLR_00077,12.858862197262791,77.62021907225271
BLR_00078,12.864777101361264,77.62063687112651
BLR_00079,12.841162526712385,77.56543702395335
BLR_00080,12.842138622367132,77.5591092150087
BLR_00081,12.84907875712535,77.54608993509132
BLR_00082,12.847256247602038,77.56521055421688
BLR_00083,12.84829374763231,77.55683674237896
BLR_00084,12.856379846118223,77.55609526227047
BLR_00085,12.856469419990065,77.54688815039572
BLR_00086,12.856289949845552,77.56530230442358
BLR_00087,12.865323645237424,77.56539412460232
BLR_00088,12.839062081455456,77.59070155545105
BLR_00089,12.840552371836685,77.57451617288783
BLR_00090,12.838967383439002,77.58413967604486
BLR_00091,12.84716609442766,77.5744171979881
BLR_00092,12.84740663344073,77.59195380617064
BLR_00093,12.847075619109214,77.58362377154897
BLR_00094,12.856109190143291,77.58371617856339
BLR_00095,12.856199731183432,77.57450927660469
BLR_00096,12.856018326736578,77.59292301004939
BLR_00097,12.865051824949827,77.5930158161727
BLR_00098,12.86541360676834,77.55618675377698
BLR_00099,12.865503245664435,77.54697931321809
BLR_00100,12.87444736056673,77.5562783150171
BLR_00101,12.874537064491546,77.54707054552361
BLR_00102,12.874357333773085,77.56548601476504
BLR_00103,12.883481107508823,77.55636994600273
BLR_00104,12.883570876466827,77.5471618473242
BLR_00105,12.883391015447957,77.56557797492376
BLR_00106,12.892514847590046,77.55646164674586
BLR_00107,12.892604681585713,77.54725321863178
BLR_00108,12.86486899846053,77.61142992396103
BLR_00109,12.864960572993912,77.60222290555964
BLR_00110,12.873902357172684,77.61152345855615
BLR_00111,12.873993998138722,77.60231611129252
BLR_00112,12.873810393406806,77.62073073457167
BLR_00113,12.882935709001375,77.6116170643994
BLR_00114,12.883027416404635,77.60240938802312
BLR_00115,12.882843678564308,77.62082466951533
BLR_00116,12.891969053942026,77.61171074150297
BLR_00117,12.892060827787072,77.60250273576361
